time_ps,tap,valid,ready,sop,eop,k_word,frame_header,subheader,frame_trailer,payload_region,tb_feb_valid,sidecar_valid,sidecar_hex,data_hex,decoded_asic,decoded_channel,decoded_t_fine
2313001600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1440000f7,0,0,0
2313001600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1440000f7,0,0,0
2313008000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1450000f7,4,0,0
2313008000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1450000f7,4,0,0
2313014400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1460000f7,8,0,0
2313014400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1460000f7,8,0,0
2313020800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1470000f7,12,0,0
2313020800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1470000f7,12,0,0
2313027200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1480000f7,0,0,0
2313027200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1480000f7,0,0,0
2313033600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1490000f7,4,0,0
2313033600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1490000f7,4,0,0
2313040000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x14a0000f7,8,0,0
2313040000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x14a0000f7,8,0,0
2313046400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x14b0000f7,12,0,0
2313046400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x14b0000f7,12,0,0
2313052800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x14c0000f7,0,0,0
2313052800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x14c0000f7,0,0,0
2313059200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x14d0000f7,4,0,0
2313059200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x14d0000f7,4,0,0
2313065600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x14e0020f7,8,0,16
2313065600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x14e0000f7,8,0,0
2313072000,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f601X000340,0x0cXX00000,X,0,0
2313072000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x14f0000f7,12,0,0
2313078400,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f631X000341,0x0cXX20000,X,1,0
2313078400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1500000f7,0,0,0
2313084800,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f671X000342,0x0cXX40000,X,2,0
2313084800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1510000f7,4,0,0
2313091200,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f6a1X000343,0x0cXX60000,X,3,0
2313091200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1520000f7,8,0,0
2313097600,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f6e1X000344,0x0cXX80000,X,4,0
