time_ps,bank,debug_valid,debug_delay_cycles,hit1_valid,hit1_ready,hit1_empty,hit1_error,hit_ts8n,hit_key,asic,channel,t_fine,metadata_valid,metadata_hex
2831316000,0,1,429,1,1,0,0,5041,59,X,5,0,1,0x00037d991X000a25
2831348000,0,1,433,1,1,0,0,5041,59,X,6,0,1,0x00037d9d1X000a26
2831372000,0,1,436,1,1,0,0,5041,59,X,7,0,1,0x00037da01X000a27
2831404000,0,1,440,1,1,0,0,5041,59,X,8,0,1,0x00037da41X000a28
2831428000,0,1,443,1,1,0,0,5041,59,X,9,0,1,0x00037da71X000a29
2831460000,0,1,447,1,1,0,0,5041,59,X,10,0,1,0x00037dab1X000a2a
2831484000,0,1,450,1,1,0,0,5041,59,X,11,0,1,0x00037dae1X000a2b
2831516000,0,1,454,1,1,0,0,5041,59,X,12,0,1,0x00037db21X000a2c
2831540000,0,1,457,1,1,0,0,5041,59,X,13,0,1,0x00037db51X000a2d
2831572000,0,1,461,1,1,0,0,5041,59,X,14,0,1,0x00037db91X000a2e
2831596000,0,1,464,1,1,0,0,5041,59,X,15,0,1,0x00037dbc1X000a2f
2831628000,0,1,468,1,1,0,0,5041,59,X,16,0,1,0x00037dc01X000a30
2831652000,0,1,471,1,1,0,0,5041,59,X,17,0,1,0x00037dc31X000a31
2831684000,0,1,475,1,1,0,0,5041,59,X,18,0,1,0x00037dc71X000a32
2831708000,0,1,478,1,1,0,0,5041,59,X,19,0,1,0x00037dca1X000a33
2831740000,0,1,482,1,1,0,0,5041,59,X,20,0,1,0x00037dce1X000a34
2831764000,0,1,485,1,1,0,0,5041,59,X,21,0,1,0x00037dd11X000a35
2831796000,0,1,489,1,1,0,0,5041,59,X,22,0,1,0x00037dd51X000a36
2831820000,0,1,492,1,1,0,0,5041,59,X,23,0,1,0x00037dd81X000a37
2831852000,0,1,496,1,1,0,0,5041,59,X,24,0,1,0x00037ddc1X000a38
2831876000,0,1,499,1,1,0,0,5041,59,X,25,0,1,0x00037ddf1X000a39
2831908000,0,1,503,1,1,0,0,5041,59,X,26,0,1,0x00037de31X000a3a
2831932000,0,1,506,1,1,0,0,5041,59,X,27,0,1,0x00037de61X000a3b
2831964000,0,1,510,1,1,0,0,5041,59,X,28,0,1,0x00037dea1X000a3c
2831988000,0,1,513,1,1,0,0,5041,59,X,29,0,1,0x00037ded1X000a3d
2832020000,0,1,517,1,1,0,0,5041,59,X,30,0,1,0x00037df11X000a3e
2832044000,0,1,520,1,1,0,0,5041,59,X,31,0,1,0x00037df41X000a3f
