hit_id,lane,channel,t_fine,t_coarse,root_hit_id,abs_ts_a,abs_ts_pre_rbcam,run_origin
971053719357942,0,22,0,2130,971053719357942,2809820000,2809956000,1
971066604259831,0,23,0,2130,971066604259831,2809844000,2809980000,1
971083784129016,0,24,0,2130,971083784129016,2809876000,2810012000,1
971096669030905,0,25,0,2130,971096669030905,2809900000,2810036000,1
971113848900090,0,26,0,2130,971113848900090,2809932000,2810068000,1
971126733801979,0,27,0,2130,971126733801979,2809956000,2810092000,1
971143913671164,0,28,0,2130,971143913671164,2809988000,2810124000,1
971156798573053,0,29,0,2130,971156798573053,2810012000,2810148000,1
971173978442238,0,30,0,2130,971173978442238,2810044000,2810180000,1
971186863344127,0,31,0,2130,971186863344127,2810068000,2810204000,1
978539847354880,0,0,0,17146,978539847354880,2823764000,2823900000,1
978552732256769,0,1,0,17146,978552732256769,2823788000,2823924000,1
978569912125954,0,2,0,17146,978569912125954,2823820000,2823956000,1
978582797027843,0,3,0,17146,978582797027843,2823844000,2823980000,1
978599976897028,0,4,0,17146,978599976897028,2823876000,2824012000,1
978612861798917,0,5,0,17146,978612861798917,2823900000,2824036000,1
978630041668102,0,6,0,17146,978630041668102,2823932000,2824068000,1
978642926569991,0,7,0,17146,978642926569991,2823956000,2824092000,1
978660106439176,0,8,0,17146,978660106439176,2823988000,2824124000,1
978672991341065,0,9,0,17146,978672991341065,2824012000,2824148000,1
978690171210250,0,10,0,17146,978690171210250,2824044000,2824180000,1
978703056112139,0,11,0,17146,978703056112139,2824068000,2824204000,1
978720235981324,0,12,0,17146,978720235981324,2824100000,2824236000,1
978733120883213,0,13,0,17146,978733120883213,2824124000,2824260000,1
978750300752398,0,14,0,17146,978750300752398,2824156000,2824292000,1
978763185654287,0,15,0,17146,978763185654287,2824180000,2824316000,1
978780365523472,0,16,0,17146,978780365523472,2824212000,2824348000,1
978793250425361,0,17,0,17146,978793250425361,2824236000,2824372000,1
978810430294546,0,18,0,17146,978810430294546,2824268000,2824404000,1
978823315196435,0,19,0,17146,978823315196435,2824292000,2824428000,1
978840495065620,0,20,0,17146,978840495065620,2824324000,2824460000,1
978853379967509,0,21,0,17146,978853379967509,2824348000,2824484000,1
978870559836694,0,22,0,17146,978870559836694,2824380000,2824516000,1
978883444738583,0,23,0,17146,978883444738583,2824404000,2824540000,1
978900624607768,0,24,0,17146,978900624607768,2824436000,2824572000,1
978913509509657,0,25,0,17146,978913509509657,2824460000,2824596000,1
978930689378842,0,26,0,17146,978930689378842,2824492000,2824628000,1
978943574280731,0,27,0,17146,978943574280731,2824516000,2824652000,1
978960754149916,0,28,0,17146,978960754149916,2824548000,2824684000,1
978973639051805,0,29,0,17146,978973639051805,2824572000,2824708000,1
978990818920990,0,30,0,17146,978990818920990,2824604000,2824740000,1
979003703822879,0,31,0,17146,979003703822879,2824628000,2824764000,1
982448267594272,0,0,0,23830,982448267594272,2831044000,2831180000,1
982461152496161,0,1,0,23830,982461152496161,2831068000,2831204000,1
982478332365346,0,2,0,23830,982478332365346,2831100000,2831236000,1
982491217267235,0,3,0,23830,982491217267235,2831124000,2831260000,1
982508397136420,0,4,0,23830,982508397136420,2831156000,2831292000,1
982521282038309,0,5,0,23830,982521282038309,2831180000,2831316000,1
982538461907494,0,6,0,23830,982538461907494,2831212000,2831348000,1
982551346809383,0,7,0,23830,982551346809383,2831236000,2831372000,1
982568526678568,0,8,0,23830,982568526678568,2831268000,2831404000,1
982581411580457,0,9,0,23830,982581411580457,2831292000,2831428000,1
982598591449642,0,10,0,23830,982598591449642,2831324000,2831460000,1
982611476351531,0,11,0,23830,982611476351531,2831348000,2831484000,1
982628656220716,0,12,0,23830,982628656220716,2831380000,2831516000,1
982641541122605,0,13,0,23830,982641541122605,2831404000,2831540000,1
982658720991790,0,14,0,23830,982658720991790,2831436000,2831572000,1
982671605893679,0,15,0,23830,982671605893679,2831460000,2831596000,1
982688785762864,0,16,0,23830,982688785762864,2831492000,2831628000,1
982701670664753,0,17,0,23830,982701670664753,2831516000,2831652000,1
982718850533938,0,18,0,23830,982718850533938,2831548000,2831684000,1
982731735435827,0,19,0,23830,982731735435827,2831572000,2831708000,1
982748915305012,0,20,0,23830,982748915305012,2831604000,2831740000,1
982761800206901,0,21,0,23830,982761800206901,2831628000,2831764000,1
982778980076086,0,22,0,23830,982778980076086,2831660000,2831796000,1
982791864977975,0,23,0,23830,982791864977975,2831684000,2831820000,1
982809044847160,0,24,0,23830,982809044847160,2831716000,2831852000,1
982821929749049,0,25,0,23830,982821929749049,2831740000,2831876000,1
982839109618234,0,26,0,23830,982839109618234,2831772000,2831908000,1
982851994520123,0,27,0,23830,982851994520123,2831796000,2831932000,1
982869174389308,0,28,0,23830,982869174389308,2831828000,2831964000,1
982882059291197,0,29,0,23830,982882059291197,2831852000,2831988000,1
982899239160382,0,30,0,23830,982899239160382,2831884000,2832020000,1
982912124062271,0,31,0,23830,982912124062271,2831908000,2832044000,1
986356687833664,0,0,0,15297,986356687833664,2838324000,2838460000,1
986369572735553,0,1,0,15297,986369572735553,2838348000,2838484000,1
986386752604738,0,2,0,15297,986386752604738,2838380000,2838516000,1
986399637506627,0,3,0,15297,986399637506627,2838404000,2838540000,1
986416817375812,0,4,0,15297,986416817375812,2838436000,2838572000,1
986429702277701,0,5,0,15297,986429702277701,2838460000,2838596000,1
986446882146886,0,6,0,15297,986446882146886,2838492000,2838628000,1
986459767048775,0,7,0,15297,986459767048775,2838516000,2838652000,1
986476946917960,0,8,0,15297,986476946917960,2838548000,2838684000,1
986489831819849,0,9,0,15297,986489831819849,2838572000,2838708000,1
986507011689034,0,10,0,15297,986507011689034,2838604000,2838740000,1
986519896590923,0,11,0,15297,986519896590923,2838628000,2838764000,1
986537076460108,0,12,0,15297,986537076460108,2838660000,2838796000,1
986549961361997,0,13,0,15297,986549961361997,2838684000,2838820000,1
986567141231182,0,14,0,15297,986567141231182,2838716000,2838852000,1
986580026133071,0,15,0,15297,986580026133071,2838740000,2838876000,1
986597206002256,0,16,0,15297,986597206002256,2838772000,2838908000,1
986610090904145,0,17,0,15297,986610090904145,2838796000,2838932000,1
986627270773330,0,18,0,15297,986627270773330,2838828000,2838964000,1
990265108073043,0,19,0,15297,990265108073043,2845604000,2845740000,1
990282287942228,0,20,0,15297,990282287942228,2845636000,2845772000,1
990295172844117,0,21,0,15297,990295172844117,2845660000,2845796000,1
990312352713302,0,22,0,15297,990312352713302,2845692000,2845828000,1
990325237615191,0,23,0,15297,990325237615191,2845716000,2845852000,1
