hit_id,lane,channel,t_fine,t_coarse,root_hit_id,abs_ts_a,abs_ts_pre_rbcam,abs_ts_post_rbcam,abs_ts_feb_egress,run_origin
564320316424325,0,5,0,17386,564320316424325,2052220000,2052356000,2067692000,2084310400,1
564337496293510,0,6,0,17386,564337496293510,2052252000,2052388000,2067724000,2084316800,1
564350381195399,0,7,0,17386,564350381195399,2052276000,2052412000,2067756000,2084323200,1
564367561064584,0,8,0,17386,564367561064584,2052308000,2052444000,2067788000,2084329600,1
564380445966473,0,9,0,17386,564380445966473,2052332000,2052468000,2067820000,2084336000,1
564397625835658,0,10,0,17386,564397625835658,2052364000,2052500000,2067852000,2084342400,1
564410510737547,0,11,0,17386,564410510737547,2052388000,2052524000,2067884000,2084348800,1
564427690606732,0,12,0,17386,564427690606732,2052420000,2052556000,2067916000,2084355200,1
564440575508621,0,13,0,17386,564440575508621,2052444000,2052580000,2067948000,2084361600,1
564457755377806,0,14,0,17386,564457755377806,2052476000,2052612000,2067980000,2084368000,1
564470640279695,0,15,0,17386,564470640279695,2052500000,2052636000,2068012000,2084374400,1
564487820148880,0,16,0,17386,564487820148880,2052532000,2052668000,2068044000,2084380800,1
564500705050769,0,17,0,17386,564500705050769,2052556000,2052692000,2068076000,2084387200,1
564517884919954,0,18,0,17386,564517884919954,2052588000,2052724000,2068108000,2084393600,1
564530769821843,0,19,0,17386,564530769821843,2052612000,2052748000,2068140000,2084400000,1
564547949691028,0,20,0,17386,564547949691028,2052644000,2052780000,2068172000,2084406400,1
564560834592917,0,21,0,17386,564560834592917,2052668000,2052804000,2068204000,2084412800,1
564578014462102,0,22,0,17386,564578014462102,2052700000,2052836000,2068236000,2084419200,1
564590899363991,0,23,0,17386,564590899363991,2052724000,2052860000,2068268000,2084425600,1
564608079233176,0,24,0,17386,564608079233176,2052756000,2052892000,2068300000,2084432000,1
564620964135065,0,25,0,17386,564620964135065,2052780000,2052916000,2068332000,2084438400,1
564638144004250,0,26,0,17386,564638144004250,2052812000,2052948000,2068364000,2084444800,1
564651028906139,0,27,0,17386,564651028906139,2052836000,2052972000,2068396000,2084451200,1
564668208775324,0,28,0,17386,564668208775324,2052868000,2053004000,2068428000,2084457600,1
564681093677213,0,29,0,17386,564681093677213,2052892000,2053028000,2068460000,2084464000,1
564698273546398,0,30,0,17386,564698273546398,2052924000,2053060000,2068492000,2084470400,1
568155722219679,0,31,0,17386,568155722219679,2059364000,2059500000,2068524000,2084476800,1
572064142459040,0,0,0,21804,572064142459040,2066644000,2066780000,2077644000,2084988800,1
572077027360929,0,1,0,21804,572077027360929,2066668000,2066804000,2077676000,2084995200,1
572094207230114,0,2,0,21804,572094207230114,2066700000,2066836000,2077708000,2085001600,1
572107092132003,0,3,0,21804,572107092132003,2066724000,2066860000,2077740000,2085008000,1
572124272001188,0,4,0,21804,572124272001188,2066756000,2066892000,2077772000,2085014400,1
572137156903077,0,5,0,21804,572137156903077,2066780000,2066916000,2077804000,2085020800,1
572154336772262,0,6,0,21804,572154336772262,2066812000,2066948000,2077836000,2085027200,1
572167221674151,0,7,0,21804,572167221674151,2066836000,2066972000,2077868000,2085033600,1
572184401543336,0,8,0,21804,572184401543336,2066868000,2067004000,2077900000,2085040000,1
572197286445225,0,9,0,21804,572197286445225,2066892000,2067028000,2077932000,2085046400,1
572214466314410,0,10,0,21804,572214466314410,2066924000,2067060000,2077964000,2085052800,1
572227351216299,0,11,0,21804,572227351216299,2066948000,2067084000,2077996000,2085059200,1
572244531085484,0,12,0,21804,572244531085484,2066980000,2067116000,2078028000,2085065600,1
572257415987373,0,13,0,21804,572257415987373,2067004000,2067140000,2078060000,2085072000,1
572274595856558,0,14,0,21804,572274595856558,2067036000,2067172000,2078092000,2085078400,1
572287480758447,0,15,0,21804,572287480758447,2067060000,2067196000,2078124000,2085084800,1
572304660627632,0,16,0,21804,572304660627632,2067092000,2067228000,2078156000,2085091200,1
572317545529521,0,17,0,21804,572317545529521,2067116000,2067252000,2078188000,2085097600,1
572334725398706,0,18,0,21804,572334725398706,2067148000,2067284000,2078220000,2085104000,1
572347610300595,0,19,0,21804,572347610300595,2067172000,2067308000,2078252000,2085110400,1
572364790169780,0,20,0,21804,572364790169780,2067204000,2067340000,2078284000,2085116800,1
572377675071669,0,21,0,21804,572377675071669,2067228000,2067364000,2078316000,2085123200,1
572394854940854,0,22,0,21804,572394854940854,2067260000,2067396000,2078348000,2085129600,1
572407739842743,0,23,0,21804,572407739842743,2067284000,2067420000,2078380000,2085136000,1
572424919711928,0,24,0,21804,572424919711928,2067316000,2067452000,2078412000,2085142400,1
572437804613817,0,25,0,21804,572437804613817,2067340000,2067476000,2078444000,2085148800,1
572454984483002,0,26,0,21804,572454984483002,2067372000,2067508000,2078476000,2085155200,1
572467869384891,0,27,0,21804,572467869384891,2067396000,2067532000,2078508000,2085161600,1
572485049254076,0,28,0,21804,572485049254076,2067428000,2067564000,2078540000,2085168000,1
572497934155965,0,29,0,21804,572497934155965,2067452000,2067588000,2078572000,2085174400,1
572515114025150,0,30,0,21804,572515114025150,2067484000,2067620000,2078604000,2085180800,1
572527998927039,0,31,0,21804,572527998927039,2067508000,2067644000,2078636000,2085187200,1
