bus,time_ps,value_hex,value_dec,qualifier
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data,14500,0x1bc,444,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data,15000,0x1bc,444,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data,16500,0x1bc,444,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data,17000,0x1bc,444,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data,18500,0x1bc,444,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data,19000,0x1bc,444,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data,20500,0x1bc,444,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data,21000,0x1bc,444,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data,22500,0x1bc,444,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data,23000,0x1bc,444,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data,24500,0x1bc,444,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data,25000,0x1bc,444,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
