name,first_one_ps,last_one_ps,rise_count,one_samples,known_samples,final
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data[7],500,2049000,5,4073,4097,1
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_data[8],500,2049000,3,4073,4097,1
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_error[0],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_error[1],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_error[2],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_channel[0],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_channel[1],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_channel[2],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_channel[3],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.run_ctrl_valid,never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.run_ctrl_data[0],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.run_ctrl_data[1],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.run_ctrl_data[2],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.run_ctrl_data[3],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.run_ctrl_data[4],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.run_ctrl_data[5],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.run_ctrl_data[6],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.run_ctrl_data[7],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.run_ctrl_data[8],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_valid,500,2047000,1024,2048,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_data[0],301500,307000,2,8,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_data[1],301500,1857000,2,8,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_data[2],500,2049000,3,4081,4097,1
